VIN (1-10),County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract,Vehicle Age,Vehicle Category
KNDCC3LGXK,Thurston,Olympia,WA,98501,2019,Kia,NIRO,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,239.0,22.0,109103879,POINT (-122.89165 47.03954),PUGET SOUND ENERGY INC,53067010300,7,BEV
5YJ3E1EB4P,Kitsap,Poulsbo,WA,98370,2023,Tesla,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,23.0,250012591,POINT (-122.64681 47.73689),PUGET SOUND ENERGY INC,53035940000,3,BEV
7SAYGDEE2P,Snohomish,Bothell,WA,98021,2023,Tesla,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,1.0,251777809,POINT (-122.18384 47.8031),PUGET SOUND ENERGY INC,53061051926,3,BEV
1FADP5FU7H,Kitsap,Bainbridge Island,WA,98110,2017,Ford,C-MAX,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,20.0,23.0,476659788,POINT (-122.521 47.62759),PUGET SOUND ENERGY INC,53035090901,9,PHEV
5YJ3E1EB7L,Kitsap,Seabeck,WA,98380,2020,Tesla,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,322.0,35.0,180703806,POINT (-122.81585 47.64509),PUGET SOUND ENERGY INC,53035092000,6,BEV
5YJXCAE25L,Snohomish,Bothell,WA,98012,2020,Tesla,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,293.0,1.0,125932719,POINT (-122.20105 47.84423),PUGET SOUND ENERGY INC,53061052009,6,BEV
5YJXCDE4XL,Thurston,Olympia,WA,98502,2020,Tesla,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,289.0,22.0,127274675,POINT (-122.92333 47.03779),PUGET SOUND ENERGY INC,53067011100,6,BEV
KM8K33AG3L,Thurston,Tumwater,WA,98512,2020,Hyundai,KONA,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,258.0,22.0,257698899,POINT (-123.04078 46.94792),PUGET SOUND ENERGY INC,53067010910,6,BEV
YV4ED3GM4P,Snohomish,Bothell,WA,98012,2023,Volvo,C40,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,1.0,286546109,POINT (-122.20105 47.84423),PUGET SOUND ENERGY INC,53061052009,3,BEV
7SAYGDET6T,Kitsap,Poulsbo,WA,98370,2026,Tesla,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,23.0,293056543,POINT (-122.64681 47.73689),PUGET SOUND ENERGY INC,53035940100,0,BEV
5YJ3E1EB3K,Thurston,Tenino,WA,98589,2019,Tesla,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220.0,20.0,478176268,POINT (-122.85135 46.85752),PUGET SOUND ENERGY INC,53067012620,7,BEV
5XYAFFS58T,Kitsap,Poulsbo,WA,98370,2026,Kia,EV9,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,23.0,285001307,POINT (-122.64681 47.73689),PUGET SOUND ENERGY INC,53035090201,0,BEV
5YJSA1E2XG,King,Renton,WA,98059,2016,Tesla,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210.0,11.0,179371300,POINT (-122.11589 47.50243),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033025602,10,BEV
1N4AZ1CP1L,Kitsap,Bremerton,WA,98312,2020,Nissan,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,149.0,35.0,137128407,POINT (-122.65223 47.57192),PUGET SOUND ENERGY INC,53035080600,6,BEV
